Timestamp,Flow Duration,Protocol,Src IP,Dst IP,Src Port,Dst Port,Tot Fwd Pkts,Tot Bwd Pkts,Flow Byts/s,Flow Pkts/s,Pkt Len Mean,Pkt Len Std,Pkt Len Max,Pkt Len Min,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Fwd Pkt Len Max,Fwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,SYN Flag Cnt,ACK Flag Cnt,FIN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,URG Flag Cnt,ECE Flag Cnt,CWR Flag Cnt,Init Fwd Win Byts,Init Bwd Win Byts,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Fwd Bytes/Bulk,Fwd Pkts/Bulk,Bwd Bytes/Bulk,Bwd Pkts/Bulk,Subflow Fwd Pkts,Subflow Bwd Pkts,Subflow Fwd Byts,Subflow Bwd Byts,Label,detailed_label,parent_label
1772969307.934063,42.35758709907532,17,192.168.6.36,10.100.192.1,60732,53,14,14,86.80853305924667,0.6610385982210788,131.32142857142858,75.615525336783,293,71,1.5687995221879747,3.2424023801275896,11.058899879455566,0.00404810905456543,3.2549876249753513,4.110833452922519,11.070163011550903,0.018427133560180664,3.257744844143207,4.109573100564467,11.062947988510132,0.019692182540893555,77.07142857142857,5.195623686768076,92,71,185.57142857142858,74.22493286854936,293,98,0,0,0,0,0,0,0,0,0,0,0.3599268027714321,0.5889239225999043,1.3663251399993896,0.006904125213623047,6.639683246612549,3.853269633104414,11.058899879455566,1.2925949096679688,1079,14,2598,14,2.0,2.0,154.14285714285714,371.14285714285717,unknown,unknown,unknown
1772969307.953583,0.45427489280700684,17,192.168.6.36,142.251.43.142,61914,443,13,12,30904.195284163103,55.03275746877111,561.56,562.5575585366058,1292,64,0.018928120533625286,0.06324055903669218,0.3128499984741211,0.0,0.03785624106725057,0.09448145559026067,0.33120012283325195,5.602836608886719e-05,0.038698434829711914,0.09453100717216734,0.3185689449310303,0.0,619.6923076923077,597.2493036992431,1292,73,498.5833333333333,541.3198446781942,1292,64,0,0,0,0,0,0,0,0,0,0,0.45427489280700684,0.0,0.45427489280700684,0.45427489280700684,0.0,0.0,0.0,0.0,8056,13,5983,12,13.0,12.0,8056.0,5983.0,unknown,unknown,unknown
1772969307.996432,118.1727728843689,1,192.168.6.36,203.74.222.2,0,0,93,94,94.96265278450085,1.5824288068705807,60.01069518716577,2.005340463445435,62,58,0.6353374886256392,0.7935088576101922,7.727075099945068,0.09846091270446777,1.2830751849257427,1.0463138323100791,10.069663047790527,1.09995698928833,1.2695675896060081,0.8484711181967209,7.843338966369629,1.1007821559906006,58.0,0.0,58,58,62.0,0.0,62,62,0,0,0,0,0,0,0,0,0,0,0.1167599267147957,0.03779789989807525,0.36427903175354004,0.0,1.152659567453528,0.850764439802601,7.727075099945068,1.000964879989624,5394,93,5828,94,0.9893617021276596,1.0,57.38297872340426,62.0,unknown,unknown,unknown
1772969308.360195,113.06122899055481,6,192.168.6.36,35.213.50.78,62516,443,6,7,7.4119130623461285,0.11498194488126452,64.46153846153847,20.2427574892659,127,54,9.421769082546234,17.801677057792194,45.026955127716064,0.0,22.612245798110962,22.55559838447316,45.218602895736694,0.00013494491577148438,18.81331483523051,22.17979733108964,45.23448610305786,0.0,58.5,9.565563234854496,78,54,69.57142857142857,26.024713529368853,127,54,0,13,2,0,2,0,0,0,251,1046,0.17907822132110596,0.03141189919859133,0.20753097534179688,0.15057802200317383,37.44830536842346,13.112853579687687,45.026955127716064,22.306889057159424,351,6,487,7,1.5,1.75,87.75,121.75,unknown,unknown,unknown
1772969308.390295,113.00105094909668,6,192.168.6.36,172.64.148.235,57921,443,11,15,20.69892253527486,0.23008635567214467,89.96153846153847,34.83386945974365,145,54,4.520042037963867,8.882004565852208,34.42834210395813,0.002827882766723633,11.300105094909668,11.205617172619748,34.432372093200684,0.17236995697021484,8.066083856991359,10.737909363715259,34.433237075805664,0.007550954818725586,97.27272727272727,39.575474498964404,145,54,84.6,31.229107301636766,143,64,0,26,0,0,15,0,0,0,255,19,0.08749991655349731,0.10163485331751264,0.2557530403137207,0.007550954818725586,16.043007373809814,10.020112395066104,34.42834210395813,3.4248781204223633,1070,11,1269,15,1.375,1.875,133.75,158.625,unknown,unknown,unknown
1772969308.407618,32.9223530292511,17,192.168.6.36,172.217.24.110,54632,443,29,33,595.2794438048649,1.8832189772375558,316.0967741935484,407.52357709838446,1296,67,0.5397107053975589,2.477338078423809,14.073807001113892,0.0,1.1742469668388367,3.5995831920772026,14.11600399017334,3.910064697265625e-05,1.0282459110021591,3.3838036890342513,14.11827802658081,0.0,371.0344827586207,457.90676552255707,1292,73,267.8181818181818,357.73414138028664,1296,67,0,0,0,0,0,0,0,0,0,0,0.7528864741325378,0.5792502690011845,1.6189301013946533,0.4129040241241455,9.970269044240316,6.579443474920314,14.073807001113892,2.3813700675964355,10760,29,8838,33,7.25,8.25,2690.0,2209.5,unknown,unknown,unknown
1772969308.867956,1.3771240711212158,6,192.168.6.36,140.82.113.21,60010,443,17,15,10713.63162506317,23.23683150345814,461.0625,604.5207079086064,1490,54,0.044423357132942445,0.102983894932238,0.3405768871307373,0.0,0.0715273767709732,0.1299404756137813,0.34488487243652344,4.1961669921875e-05,0.08152571746281215,0.13646901076459875,0.34356093406677246,0.0,438.7647058823529,614.8340761347492,1490,54,486.3333333333333,613.0973666167397,1490,54,2,30,2,1,10,0,0,0,65535,65535,1.3771240711212158,0.0,1.3771240711212158,1.3771240711212158,0.0,0.0,0.0,0.0,7459,17,7295,15,17.0,15.0,7459.0,7295.0,unknown,unknown,unknown
1772969309.188393,105.09461498260498,2,192.168.6.1,224.0.0.1,0,0,7,0,3.330332387229652,0.06660664774459304,50.0,0.0,50,50,17.515769163767498,6.141436542857993,30.051894187927246,14.9998459815979,17.515769163767498,6.141436542857993,30.051894187927246,14.9998459815979,0.0,0.0,0.0,0.0,50.0,0.0,50,50,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,17.515769163767498,6.141436542857993,30.051894187927246,14.9998459815979,350,7,0,0,1.0,0.0,50.0,0.0,unknown,unknown,unknown
1772969309.196523,1.3087680339813232,6,192.168.6.36,140.82.113.21,60011,443,16,15,12186.269519039613,23.68639758544285,514.483870967742,634.3449046571716,1490,54,0.04362560113271077,0.09576696027411766,0.2844810485839844,0.0,0.07082560857137045,0.11965019147680031,0.29104089736938477,2.7179718017578125e-05,0.07603234904153007,0.12339064426287141,0.29346394538879395,0.0,540.5625,672.9211909032637,1490,54,486.6666666666667,612.7788772313813,1490,54,2,29,2,1,10,0,0,0,65535,65535,1.3087680339813232,0.0,1.3087680339813232,1.3087680339813232,0.0,0.0,0.0,0.0,8649,16,7300,15,16.0,15.0,8649.0,7300.0,unknown,unknown,unknown
1772969309.42696,112.67254090309143,6,192.168.6.36,35.213.7.90,51815,443,5,6,6.363573540217619,0.09762804594476124,65.18181818181819,21.953670225354948,127,54,11.267254090309143,24.189363020564414,67.15691304206848,0.0,28.168135225772858,33.65877941456478,67.32638478279114,0.00015211105346679688,22.496761417388917,31.69683278927247,67.15691304206848,0.0,59.2,10.52140675005011,78,54,70.16666666666667,28.456399397440755,127,54,0,11,2,0,2,0,0,0,251,1044,0.1699692408243815,0.027406820003245166,0.20148992538452148,0.1517658233642578,56.08131659030914,15.663258713449386,67.15691304206848,45.005720138549805,296,5,421,6,1.6666666666666667,2.0,98.66666666666667,140.33333333333334,unknown,unknown,unknown
1772969309.568063,45.055290937423706,6,192.168.6.36,34.144.254.29,63541,443,2,2,5.548737890677911,0.08877980625084657,62.5,8.660254037844387,70,55,15.01843031247457,25.98047981886104,45.0181040763855,0.015105962753295898,45.04018497467041,0.0,45.04018497467041,45.04018497467041,45.033210039138794,0.0,45.033210039138794,45.033210039138794,55.0,0.0,55,55,70.0,0.0,70,70,0,4,0,0,0,0,0,0,251,1044,0.018593430519104004,0.004932024212744819,0.02208089828491211,0.015105962753295898,45.0181040763855,0.0,45.0181040763855,45.0181040763855,0,0,0,0,1.0,1.0,55.0,70.0,unknown,unknown,unknown
1772969309.910308,7.215216159820557,17,192.168.6.36,172.64.155.209,59930,443,21,11,3363.863183359377,4.435071561431341,758.46875,568.3391186876416,1292,70,0.23274890838130827,1.2063097482858303,6.726314067840576,0.0,0.36076080799102783,1.5000936830266396,6.726314067840576,4.00543212890625e-05,0.71842520236969,2.1231802212082966,6.7558910846710205,0.0,1057.095238095238,439.72751844317236,1292,87,188.36363636363637,264.2219796789331,775,70,0,0,0,0,0,0,0,0,0,0,0.24445104598999023,0.05489407854931691,0.2832670211791992,0.20563507080078125,6.726314067840576,0.0,6.726314067840576,6.726314067840576,22199,21,2072,11,10.5,5.5,11099.5,1036.0,unknown,unknown,unknown
1772969310.167818,111.74078798294067,6,192.168.6.36,34.1.250.35,52888,443,5,5,5.933375018808883,0.08949283587947032,66.3,22.808624099961254,127,54,12.41564310921563,24.948855977425552,65.87919116020203,0.0,27.93519699573517,33.199227213622315,66.14993596076965,5.698204040527344e-05,27.855352222919464,33.09542700087308,65.87919116020203,0.0,59.2,10.52140675005011,78,54,73.4,30.558141304732526,127,54,0,10,2,0,2,0,0,0,251,1046,0.28120263417561847,0.02739466075795179,0.30771899223327637,0.2530069351196289,55.44859004020691,14.75109756760109,65.87919116020203,45.01798892021179,296,5,367,5,1.6666666666666667,1.6666666666666667,98.66666666666667,122.33333333333333,unknown,unknown,unknown
1772969311.305349,106.01861596107483,6,192.168.6.36,34.144.254.29,52326,443,6,7,30.749316716197487,0.12261997463514336,250.76923076923077,414.0801359330812,1466,54,8.834884663422903,17.46248561643842,45.00819110870361,0.0009288787841796875,21.19934058189392,22.621013994751475,45.03165292739868,0.0521700382232666,17.665663997332256,22.03891834937834,45.049371004104614,0.0009288787841796875,119.0,157.74790014450272,441,54,363.7142857142857,538.4625379373247,1466,60,0,13,0,0,4,0,0,0,255,1024,0.11316770315170288,0.17966762572170825,0.3826639652252197,0.02191305160522461,35.18864838282267,16.97329253540785,45.00819110870361,15.589591979980469,714,6,2546,7,1.5,1.75,178.5,636.5,unknown,unknown,unknown
1772969312.346237,108.5041151046753,2,192.168.6.36,224.0.0.22,0,0,18,0,9.105645431483072,0.1658923256747928,54.888888888888886,2.5870466670542185,62,54,6.38259500615737,6.473448804376097,23.490740060806274,0.4920680522918701,6.38259500615737,6.473448804376097,23.490740060806274,0.4920680522918701,0.0,0.0,0.0,0.0,54.888888888888886,2.5870466670542185,62,54,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.09990019798278808,0.20685448648521373,0.5120790004730225,0.0,7.643258009638105,6.471275039687415,23.490740060806274,1.0064079761505127,988,18,0,0,1.2,0.0,65.86666666666666,0.0,unknown,unknown,unknown
1772969312.908752,110.69613695144653,2,192.168.6.33,224.0.0.22,0,0,7,0,3.667697999055554,0.06323617239750955,58.0,0.0,58,58,18.44935615857442,6.040903450515456,29.368448972702026,12.17111587524414,18.44935615857442,6.040903450515456,29.368448972702026,12.17111587524414,0.0,0.0,0.0,0.0,58.0,0.0,58,58,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,18.44935615857442,6.040903450515456,29.368448972702026,12.17111587524414,406,7,0,0,1.0,0.0,58.0,0.0,unknown,unknown,unknown
1772969315.667289,69.56013798713684,6,192.168.6.36,34.36.200.111,55168,443,5,6,10.652652818731136,0.15813654656685897,67.36363636363636,22.588814609327013,131,54,6.956013798713684,15.42465182936481,45.016610860824585,0.0,17.39003449678421,21.748470468934098,45.038023948669434,0.000885009765625,13.906826782226563,20.37315110264854,45.040159940719604,0.0,59.2,10.52140675005011,78,54,74.16666666666667,28.456399397440755,131,58,0,11,2,0,2,0,0,0,252,1046,0.025444428126017254,0.005242598883166791,0.031371116638183594,0.021413087844848633,34.741902351379395,14.530632123487637,45.016610860824585,24.467193841934204,296,5,445,6,1.6666666666666667,2.0,98.66666666666667,148.33333333333334,unknown,unknown,unknown
